id,text,label
994,"Goodfun

Imagine action films were 30 minutes long. There would be no time for sub-plots or romantic involvements or ""No! You go on without me ..."". All there would be is car chases and explosions. Godwill's book is rather like that.I liked it.Forget the measured blend of theory, fact and example which is the style of O'Reilly's authors. This book cuts to the chase, and it works.You see, Tomcat is a servlet runner. It isn't that interesting or even the best of breed (Jetty is way better). Tomcat is as interesting as what you do with it, and Goodwill drags you along through a flash tour of all the goodies.Its a bit like a night tour of Naples on the back of an Italian cigarette smuggler's Vespa. Somehow, at the end, despite not having understood much, you find you know your way around and feel comfortable exloring further on your own.Take it or leave it. That's just the kind of book it is.",positive
626,"JBL MRX512M

JBL has several price points for it's professional sound reinforcement products. JRX is the least expensive and MRX is the second least expensive. The MRX series offer higher quality and durability for a very reasonable price. These are normally $700.00 each. Amazon offered a new ""opened"" package which I was able to purchase for much less. These are extremely lightweight for the amount of power they can handle. Power handling is between 400 and 1600 watts depending on the program. Nominal wattage is 800 watts into 8 ohms. Excellent for live monitoring or as mains for smaller venues. Speakon in and out connectors only. Non protruding handle. Great product.",positive
676,"very informative

Laugh and Learn About Childbirthexcellent information, and humorous all at the same time !!!",positive
863,"Video Review

Length:: 6:20 MinsThis is my video Review of Stargate Continuum. For more video reviews, search ""MikePetel"" on Youtube. Enjoy!",positive
412,"LAST Nicolas Cage film for me!

There is not ONE redeemable quality about this film. Period. Nicolas Cage is at the bottom of the barrel. He now has absolutely NO range. The acting in this was worse than a low budget B movie. I think he seriously was on something! So here we are New Orleans Post Katrina. Nic is supposed to be a tough guy and gets into all kinds of trouble. I couldn't figure out who was coming or going. I was baffled the entire movie! The lines were HORRIBLE! PLEASE SAVE YOUR MONEY!",negative
271,"Tiene que ser sensilla!!

Quien no va a ser sensilla con la poca fama, talento, y bellesa que esta mujer tiene? No tiene voz suave, ni fuerte. Deveria dedicarse a otra cosa. Lo que sea.. menos cantar, y actuar porque seria igual de ridicula que Patty Navidad!! Este es uno de los peores Discos que he escuchado en toda mi vida!!",negative
872,"What if!

This IS your bag:If you like action, fun, stunts, thrillIf you want to see something completely uniqueIf you are not afraid of timeblendsIf you like fabulous music from some of the hippest german people (that make look the far too streamlined usual scores look veeeery old)If you like cartoonsIf you like to rather sit and hold than to stop the vcr and go to toiletIf you like to experience sheer SPEEDSo, what are you waiting for? Run to get it!One funny sidenote: The movie's rating was for 12 years in germany. Americans are really funny with their prudery. It seems that the americans are as afraid of sex as the germans are of violence.",positive
310,"Please read Kundera's book instead

Kundera's novel The Unbearable Lightness of Being is absolutely amazing, and this film falls so far short of it. Despite my almost-immediate dislike of the film, I actually stuck it out and watched the entire thing (hoping that Daniel Day-Lewis could somehow salvage it or that the film might actually express some idea from Kundera's book). But I was sorely disappointed.But please read Kundera's novel, because it is wonderful. I can't help but think that Kundera was referring to this film when he wrote in his later novel Immortality: ""The present era grabs everything that was ever written in order to transform it into films, TV programs, or cartoons. What is essential in a novel is precisely what can only be expressed in a novel, and so every adaptation contains nothing but the nonessential.""",negative
971,"Needs some modification

This thing is ok. But realize, you must hold it onto your blow out port to make it work. Therefore you need 2 people to blow out your pipes. When you are blowing out an rv, constant air pressure is the key. So, saying that, i ripped off the needle and attached an air chuck fitting to it. Now I just screw this on, attach my air hose and pop on the compressor and I no longer need to hold it in place.",negative
557,"Northwinds - 'Great God Pan' (Black Widow)

Northwinds seems to have a good share of originality to their sound.It might be sort of tough to describe their work,but I'll try.A French progressive outfit that blends old school Sabbath with celtic music.Would that formula even fly?It does here.Notice some truly inspired heavy guitar work along with some superb keyboard and flute playing on 'Great...'.A total of six cuts,with each one averaging eight minutes.Tunes I couldn't get enough of were the title track,""Great God Pan"",their Sabbath cover of ""A National Acrobat""(talk about covering an obscurity-great work!!)and the epic ""The Forest Of Koncerei"".A real keeper.",positive
527,"A unique take on a classic theme

I really enjoyed this book with the exception that the story was slightly disjointed at times. There are sudden jumps in the story and one in particular in which a large chunk of plot seems to suddenly go missing. Aside from these short comings, however, The science & plot work well together. The characters are reasonably complex & the universe captivating.",positive
877,"RELLY CHALINGING.

RELLY QUICK action you can play tag here is how to play tag youhave to tag all the othere cars wethowt being tagd in retern.batell is a chalinging game you fite. you can race to.",positive
772,"Erotic and Romantic... One of Anne's Best!

Exit to Eden is one of Anne's Best works, in my opinion. Many people were turned off by the film adaptation (why hollywood decided no one would want to see a bondage film is beyond me <eg>) but this book focuses on the relationship of Master and Slave and what happens when the tables are turned. Anne has many sides and Lestat is just one of them. True Rice Fans will adore this beautiful work of fiction.",positive
764,"Might as well fan yourself with your hand and save on batteries.

I always rely on Amazon customer reviews - this is the first time I have been so completely disappointed. I had to hold the fan 10 inches from my face before I felt any circulating air, and that was with the fan on High. Due to the size and shape of the fan blades, no air comes out of the center of the fan; what little breeze there is comes out in a small stream on the sides of the fan. I won't comment on the light, since I wasn't interested it that option. Just got it, and I am sending it right back.",negative
583,"Don't waste your money

They look cheep and feel cheep and well.. they are cheep but they don't work which is the bottom line. Fitting them onto the jawbone does not lock into place so the ear piece you just spent over a 100bucks for falls out of your ear! It's not worth it since Jawbone gives you five ear buds that lock onto the Jawbone, which fit your snugly in your ear. They also give you a left ear or a right ear bar that lets you choose which works for you. So this product fails and had I'd seen them in person I wouldn't have spent my money on them.",negative
820,"Horrible Game

This game is boring. You can't follow the story line, and if I hadn't read the books I would not understand it at all. The fight scenes take too long and they are also boring. In the mines of Moria there is this one place where you have to go but you get stuck because the game has a bug. The controls are extremely weird and take a long time to get used to. I have bought this game and I do not like it. I would suggest not buying it.",negative
119,"Good Quality Cell Phone Holder

Contrary to other review, I found my cell phone holder to be of very good quality and have used it for a long time now with no problems whatsoever.",positive
269,"A wish to time travel to 1880's Rockaway.

Old Rockaway, New York in Early Photographs, exceeded my expectations! I thought it would provide a photographic history of perhaps the 1930's and 1940's. I was pleasantly surprised to find nineteenth century photographs of the peninsula in its true heyday. Having lived in Arverne during the 1960's and 70's, I was amazed to see that the rich and famous visited this area very similar to the way the rich and famous today visit the Hamptons on the east end of Long Island. As you view the postcards from this early era, you can actually see the unspoiled landscape of sand dunes and bay marshes that no longer exist. And the magnificent hotels and homes that graced this once popular resort prove to me that the City of New York truly mis-managed the development since the 1930's.",positive
510,"Good book -- but not this edition

This is an excellent book. But this edition is extremely poorly produced. There are far too many typos, and little information about the original publication of the book, for example. The layout is ugly. It's great the book is cheap, but I wish I had paid a little more for a nicer version.",negative
524,"Struggled Through!

I struggled through this book. The storyline was a bore! I was also anxious to read this book as it was highly recommended, but too was I disappointed. If you absolutely have to read this book, borrow it from someone or the library!",negative
900,"Sadly Disappointing

This overdone remake of the brilliant 1963 classic is sorely disappointing. If it had been released as an original movie with an original title, it would have worked. The special effects (though good) were too much for this movie to bare.",negative
196,"What a disappointment!

I am a big Belva Plain fan and have always enjoyed her books. After the Fire is a disappointing read. What bothered me the most is the character of Hyacinth-what a weak and stupid woman! She is not believable at all. Any mother will fight to the end for her children. I kept hoping she would snap out of it, but she never did. She just kept trusting stupid men and believing them. I will think twice before spending money on another Belva Plain novel in the future.",negative
54,"Wonderful, baffling mix

This has just about everything. The rabbi, of course, is learned and devout, even if his schooling causes some nervousness. The cat becomes fantastical when some mystery grants him human speech. The visit abroad captures all the distrust of the alien that the most insular of small-towners can summon. And, around all of that, the monotonous drama of life unfolds: loves, losses, and changes that no one knows how to ride out.Comics have moved well past the BamPow genre into many other idioms - this might border on chick lit, but much less than some. If reality and fantasy remain negotiable for you, with deep family devotions and deeper (or shallower) personal ones, the ragged lines of this comic might touch you.-- wiredweird",positive
829,"Interesting View Into British Culture

As one would expect these producrions are beautifully presented. The quality of the acting is superb. England seems to produce character actors of great skill and presence. I thoroughly enjoyed the variety of themes presented",positive
84,"Avoid it.

The abridged version of this book would read as so:""Sin is inevitable. So make the best of bad situations. And oh by the way... women are strong.""There ya go. Nuff said. I don't need to read obnoxiously long sentences lamenting on one sentiment for the entire 160 odd pages or so of this travesty. The entire book is just one big complaint. From the girl who commits adultery. She laments about it for the whole stinking book and puts up with some obnoxious kid the for whole thing as well. Painfully thick language, stupid storyline, quixotic style... everything that would piss off a recreational reader. Avoid it.",negative
26,"works great

i bought this item to connect to a strobe light. unit functions well. not sure that it has all the range claimed, but i never really believe everything a manufacturer claims about a product like this. just too many variables. I can say it works from my neighbors house into my garage; at least 40' going thru two buildings. now if i make too much noise later at night he can simply press a button to let me know.",positive
802,"Good

""Fahrenheit 451"" is set in a time where reading books is strictly forbidden. In this world, instead of putting out fires and keeping people safe, firefighters burn entire houses containing books, and occasionally even people. One of these firefighters, Guy Montag, has doubts about the whole situation, and those doubts are strengthened when he meets a freethinking girl by the name of Clarisse McClellan. The major themes in this book include the value of intelligence and human interaction. I would suggest everyone read this book at least once, to help understand why it is important to attain knowledge and break free from ignorance. I overall liked this book, and would give it a 4/5",positive
66,"Great Camera

I recently purchased this camera and I'm very satisfied with it. I find the quality of the pictures with this camera as good if not better than anything else without going to digital. It is very comfortable to hold and the controls are easy to use. I highly reccomend this product to anyone looking for a top quality camera at an affordable price. Nice going Sony!",positive
287,"Not what I expected

I should have read what the cd was about. I thought it was just music by Chopin but it was really a lot of soprano singing.",negative
782,"dystopian classic

Wow, what a great book about a dystopian society, censorship, and the need of the state to keep the masses blind, deaf, and dumb. If you enjoyed ""1984"", ""Brave New World"", or ""The Giver"", you must read this. It is now one of my favorites!",positive
112,"Itten The Elements of Color

I was so very pleased to review the art book which arrived in pristine condition. I would have rated it in Excellent condition, rather than very good. I would like to thank the person who made it possible, but have misplaced her name and address.",positive
926,"One of the best ever.....

I have read this book 4 times, and I can read it 100 times more, and never get tired of it. This is what a great piece of literture can do. This book has such unforgetable scenes, that one cannot differenciate between dream and reality that exists in the story, but takes over your mind and don't let go till you set aside the book. And even after, you will be captivated by the imagineray that has gone into this masterpiece.",positive
359,"What a complete and utter waste of time, and money.

This movie really is a complete stinkpot.The acting is horrible,the action is way too over the top and unbeleivable,and the comedy is way too stupid and cheesy. First off the movie gets started in a crazy action scene/war flashback. No story what so ever. The car chase scene is so full of it, a car gets shot with a high powered rifle like 500 times and is still driving around. Even the twist at the end was completely easy to figure out. Please avoid this reeking exploding crock of ....",negative
275,"Fine until it started eating tapes

Like many of the other reviewers, my ZR40 is now giving me the infamous ""Remove cassette"" message and is mangling tapes. I have used it to record maybe 7 hours worth of video over the last two years. Search the web for ""canon zr users group"" and ""eating tapes"" to hear similar horror stories. Stay away from Canon camcorders.",negative
970,"no book key

I purchased this book under the impression it had a book key for QUIA, required by my profesora.It didn't have any book key... so now i have to return it. And just buy the one from the bookstore, like I should have done from the beginning.Also UPS was a day late, and didn't leave the book as I requested by signing the ""LEAVE PACKAGE"" form left by the delivery man. I had to go pick it up myself because I'm never at home.",negative
251,"Great band even better now

Ra has to be one of the most underrated band in rock music.When I heard their first cd I was blown away. These guys are amazing. The whole feel of this band is just is so different than anything I have heard in many years. This cd is really good and I would hope the world would sit up and take notice.These guys are talented musicians and in modern music that can be rare.The music is angery and powerful and then it is smooth and melodic.Tell Me, I lost everything today,The only one, and got me going are some of the ones that stand out to me.The cover of the Police's ""Every Little Thing She Does Is Magic"" is one of the more interesting covers I have ever heard.If you liked ""From One"" the buy this disc. I would love to see these guy live.",positive
953,"Stunning

I bought this cd initialey by mistake. I was in a hurry and missed the cd i wanted right next to it. It must have been God's hand directing me to this stunning album. I had only heard the band on the radio and by the time song one was over i was hooked. I sat there and let Shirley Manson's rich voice enthrall me through the rest of the cd. I went out immeadiately and found their first cd, which was just as good, but in a different way. That is what makes this a great band (among other things). THe ability to reinvent without loosing the soul/sound of the music.Two great albums. I can only hope that they grace us all with many more.",positive
742,"A timeless classic that's an unforgettable must-read.

This is the timeless classic which the term ""Orwellian"" and""Big Brother"" are derived. This terrifying look into apossible future in which the Government ""Big Brother"" holdstotal control over the populace. Orwell's vision of thefuture still holds very true to this day and is a must-readfor anyone concerned about the future of technology andgovernmental control.-Hans Chen",positive
363,"Totally Useless

I too bought into the hype that the emarker presented, but after using it for a week I realized how pathetic this product is. Its nothing more than a clock that marks the time of day you here the song and NOTHING ELSE! You have to look up everything manually including the radio station and the appropriate time. Not only that but you have to memorize which mark stands for which station, it doesnt even do that!! How stupid, does sony believe they can just sell products by putting their name on it. Tsk Tsk. The product is also really dependent on the internet, so if you dont have a good connection like me you can forget the practicality of the emarker. Actually, even if you do have a cable or dsl line, its still useless.",negative
115,"Good follow-up to El Cielo.

A bit of a change this time for Dredg, less progressive material, more straight ahead rock tunes. I was a little disappointed in it. It doesn't have alot of stuff going on like with El Cielo which is pretty big compared to Catch Without Arms. But still this is the direction they chose to go in and it's definitely a very good one.",positive
909,"helped a bit

studied the asvab few days before taking the test. this book helped me get an idea of the difficulty and what to expect in the test. the practice tests on this book is actually harder than the actual asvab, so it helped me to study harder versions. passed with a score of 94.",positive
903,"A lot better than the factory seat.

The seat was a cinch to install. It took about 10 minutes tops, and it's a lot more comfortable than the factory seat the bike came with.",positive
540,"complete nuisance

I set it up according to the directions, clicked the scan button, and the contraption made a noise but never began the scanning process. Uninstalled it, then re-installed it, and the same thing happened. Complete and utter waste of my time. I gave it one star only because it had all the parts in the box.",negative
837,"same

Certain songs from naglfar are without a doubt outstanding esp. ""12th rising"", ""brimstone gate"", but the songs off of Vittra all sound similar. I can't really decipher between them. Most of the riffs aren't capturing. It is hard to find the cd Diabolical which has the songs i mentioned above but already I can tell you that cd is better than Vittra.",negative
495,"After 6 years, this album is still awesome.

This album contains danceable techno and mellow techno (trancey/ambient). Unlike most albums, ALL of the songs on this album are great. You'll definitely get your money's worth from this album. And even though it's over 6 years old, the music still sounds brilliant. Like Michael Stipe of R.E.M. said, this album was several years ahead of its time.",positive
425,"Excessive Typos Ruined it for Me

Couldn't agree more w/ Prendergast's review concerning the laughable typos. I thought the proof reader or editor of the version I had must be abusing drugs themselves! How distracting to read a so called ""classic"" and find it reading like a HS sophomore paper - and a drunk sophomore at that! I somehow managed to finish the book, but came on Amazon immediately following it to see if others read the same erroneous version. Weird. Typos, poor punctuation, etc. ruined it for me.",negative
209,"Still yet to recieve

I am still yet to receive these items that I purchased 4 months ago. I've tried everything to track where they might be but no success!!!",negative
556,"Excellent show, poor sound

Unfortunatelly the DVD is dissapointing for Tina's fans. The show is fantastic, but both Dolby Digital and DTS version of this DVD have one of the worst sounds I ever heard. My subwoofer didn't move once while the tweeters of the front speakers nearly went on flames. More, the soundtrack was re-edited with sound taken from other concerts (that's incredible - at one moment I swear that I heard the word Munchen despite the fact that the concert is in Amsterdam). And, oh yes, the DVD is overpriced. Forget ""Amsterdam"" and don't miss ""One Last Time in Concert"" as it has verry good sound quality and image. Not speaking abut the phantastic show...",negative
792,"Ok

I felt the author of the book should of described the war a little more. Still I thought it had some very interesting perspectives on how the world might become.I thought it was weird how all the fireman looked the same. The mechanical hound was a great part of the story. It had us guessing if it would attack Montag or not. Over all I felt this book was well worth reading.",positive
68,"Broke the 2nd time I wore it, great until then

I think this product provided a great fit. I was able to hook on the first row by myself within about 5 mins max. It wasn't quite as difficult to get on as I thought it might be, although it isn't particularly easy either. I tried it on and wore for about 2 hours, and then the 2nd time I wore it had it on for about the same period of time. I took it off and one of the metal boning pieces had popped through and was hanging out at the bottom. This product is far too expensive to have something like that happen. The fit on me was snug, but I am sure I had the correct size. Now I have to figure out how to get this resolved.",negative
232,"not finding comfort in food

I have read this book in search of a way to view my body and my self more positively. However, this book claims that only the overweight or people with eating disorders lack self-confidence. It is not true, obviously. I am not overweight and never had any eating disorders, but I just don't have a positive self-image. So if you're like me, don't read this book. I couldn't relate to it. The title is misleading.",negative
81,"I would sell it -- book complete with dust cover. Excellent

West is only fairly judged by the breadth of his work. He has a special view of human nature and all its weaknesses.",positive
789,"DON'T READ THIS MIND-NUMBING DRIVEL!

This book doesn't deserve one star. It deserves negative 1000 stars. This was the WORST book I have ever read. The book moved to slow, and the characters are stupid. Guy Montag, the main character, is a fireman who sets books on fire, becuase homes are fireproof. Then he meets this crazy girl nmaed Clairese who rambles about dumb stuff of the past that is not important like (Did you know that one time billboards were only 20 feet long, instead of 200) WHO CARES?!?! If there is one book that deserves to be burnt it is this.",negative
463,"WOULD NEVER BUY AGAIN

THIS IS THE THIRD MATTRESS IN 5 OR 6 WEEKS AND HAD THE SAME PROBLEM WITH ALL THREE. THEY ALL LEAKED RIGHT FROM THE BEGINNING, SOME WORSE THEN THE OTHERS. THE BUILT IN PUMP WORKED GREAT AND I LIKED IT VERY MUCH. THUS THE 2 STARS INSTEAD OF ONE STAR. I AM VERY THANKFUL FOR AMAZON'S GREAT RETURN POLICY. IT WAS REALLY A PLEASURE TO DEAL WITH THEM.",negative
576,"Informative but idiosyncratic coverage of historical warships

This book offers an interesting diagrammatic presentation of thirty-six warships, ranging from a Roman galley to a ""Nimitz""-class aircraft carrier. Naval buffs will find this a useful book, with numbered guides accompanying the cut-away color diagrams that offered details about the layouts of the various ships. Yet the selection of what constitutes a ""great"" warship is rather idiosyncratic. The selection is exclusively Western in its orientation, as Chinese junks, Ottoman galleys or Imperial Japanese Navy vessels completely absent. Moreover, the compilers seemed to have been unable to decide whether a great warship was an innovative one or a historic one and included selections of both, leaving out others more deserving in the process. As a result, while an interesting resource, it is a limited one that lacks a theme that could have made it a truly valuable book.",negative
732,"cj

It has a robust taste and a good topping to macaroni. Good addition for a quick nutritional meal. It does resemble a cheddar cheese flavor without the salty taste.",positive
322,"Flat Kerouac

I'm amazed at how many people find the Dharma Bums worth reading. It's Kerouac at his flattest. The sentences lack his usual energy and lyrical beauty, there is virtually no action and the Buddhist philosophy feels pasted on and contrived. This is definitely not a Kerouac book to recommend. Readers would to better to pick up a copy of Desolation Angels or (excepting the 140 pages of transcribed conversation in the middle) Visions of Cody. If you've already read lots of Kerouac and you want to move on to a modern counterpart, pick up Vincent Czyz's Adrift in a Vanishing City ... lyrical, experimental, hot-house writing that takes a quick-talkin drifter out of his native Kansas as far afield as Berlin, Mexico City and Paris. And through it all, he never loses his vernacular, even when waxin metaphysical. You might also try sliding over to Henry Miller ... not Tropic of Cancer, which is his most popular, but Sexus, which is far better written.",negative
279,"hard -to-find tension rods

Our living room has a ""bow"" window with five narrow panels. I looked many places for narrow-but-strong tension rods. I was pleased to find these and to get free shipping. I am very happy with my purchase. Thank you.",positive
176,"Angel of darkness is correct

This game is the angel of darkness - THe control system is impossible - The menu screens are ridiculous and bulky to manage - I have played all the tomb raider games - This one is near to unplayable - This thing went straight to EBAY - save your money for something good - THE TR people need to do something fresh with this character like send her to space or something - jeez - the franchise is getting old and stale due to lack of innovation and change.",negative
266,"Excellant

I love Kala as well, because it sounds cleaner and more developed. However this album was an excellant break out in her career. fire, fire is one of my favorites. Mix with marijuana.",positive
534,"Worst scanner I've owned.

I was looking forward to a new scanner after my HP died after just a year. I purchased this one based on the several good reviews on Amazon and other sites.Now that I have the scanner I am sorely disappointed. The picture quality is horrible. No matter the tweaking I do in the scanner dialog, the picture is faded and grainy.The software itself is the least useful interface I've ever worked with. The ""auto"" buttons makes the image worse, the image area recognition has never yet gotten it right, and the most useful feature only applies if you are sending the scan to Paperport, something I never want to do.",negative
625,"Not a good toy

This toy isn't well made or designed with kids in mind. You have to shake it forever before it will even do anything. I thought it was broken at first but then I found out that you can shake it for 10 min and nothing will happen but that's normal. If you like Megaman then I'd get the GBA game instead of the PET toy.",negative
793,"Excellent!!! My #1 book of all time!!!

I was actually forced to read this book for a high school english class, and fell in love with it. It's simply chilling in it's portrayal of the ""future"" and the deliberate ambiguity about Clarrise is very cool. The deeper themes in this book make it one completely rife with feeling. A very poignant book, it's definitely a must-read.",positive
980,"bad acting

This movie had bad acting. The dad is dramactic and corney. The mom is just corney, and all of the soccer coaches are acting like it was big pro sports championship. The olson twins were corny but entertaining to watch. This movie is unrealistic that Emma (ashley) and Sam Mary Kate were on 2 different teams. (It's a rule that siblings be on same sports team) This movie has bad quality actors and a unrealistic plot.",negative
525,"Klaatu Hopeless

I purchased the original Klaatu album on vinyl in 1976. I love the album as much now on CD as it did then. However ""Hope"" is far too theatrical, with virtually no actual songs on it. If I could give it 0 stars I would.",negative
140,"Good product at reasonable price

Though the output of this power supply is lower than the Apple supply, it seems to work fine--and it is very reasonably priced. Too bad that Amazon stopped carrying the supply.",positive
211,"broken :(

The base and frame were not completely attached. Fixed with a little glue. My friend loved it after that.",negative
632,"cross contamination

The many ideas given (eat the inside of sandwiches, eat the top off of canapes, avoid the crust) can give a true celiac serious consequences. Sometimes, a person can eat gluten with no obvious side effects but do great ""silent damage"" to one's intestines. There are complications to celiac disease such as refractory sprue and collagenous sprue. I have these complications due to not being strict enough when following the gluten free diet.",negative
939,"Beware of editions by General Books LLC

Beware of editions by General Books LLCThey produce books by scanning (OCR) copyright-free material, but without any editing.There are so many errors though that the result may be unusable.Usability probably depends on subject matter, but the many OCR-errors make even prose an annoying read.Especially mathematical and technical texts and texts with notes can become completely garbled.See the review of J.M. Keynes' ""A treatise on probability"" on this site which I bought but is useless, and similar comments by other buyers (on ""Vanity Fair"" by Thackeray; on ""The Italian"" by Radcliffe)",negative
276,"My [Goodness]!!!!

world.....do noti repeatdo not get this camcorderthere is nothing worse than thisi wasted [money]buying it from amazon.comi could have gotten the same thing [for less]including firewire, 4 dv's, and a carrying caseIt is honestly the worst, disgusting, and despicable electronic out thereif you get this you will have literallyliterally threw [your money]into the atlantic oceanDO NOT GET THIS EVEN IF SOMEONE PAYS FOR IT. RETURN IT. GET YOUR MONEY BACK!!!!!!!",negative
575,"Cool Documentary

I was extremely excited to pop this DVD into my computer and watch it. But please be aware this is more like a documentary. And please don't let me deter you from buying this DVD.A lot of interviews about the the World Championship mixed with some GREAT interludes of the interviewee riding. Watching them ride will inspire all of you mountain biking enthusiast out there. As the description states, this is about the riders and sacrifices they go through, not about their riding skill and extreme stunts. I expected non-stop action, but this is still a great DVD to add to my collection. I've watched it a few times just to watch them ride their riding chapters.A must buy for anyone serious about competitive DH racing. Shred it up all!",positive
611,"Canon NB-5L good for the XS200IS

I think it's always best to get the actual canon battery rather than a ""replacement substitute"". The battery life so far is pretty good- at least 8 hours.",positive
871,"Run Lola Run

This is without a doubt one of the all time best films I have ever seen. If you are thinking about buying it just do so, you will not be disapointed.",positive
746,"TEACHERS??

I was so upset to learn that this is no longer required reading in advanced English in high school. I ordered it for my son, because no one can be considered well read without this in one's history.",positive
551,"never again

I bought this heater and it didn't even work on arrival. The pilot light came on, but nothing else. What a waste of time and money.",negative
377,"know the source of your information

While there is some very good information in the book, I ask you to consider the source. Ms. Quigley has testified on behalf of a woman shooting a gun down a hillside toward a strip mall at some dogs that were barking but not approaching her, that she was acting reasonably. The jury disagreed and convicted the defendant she was testifying for of grossly negligent discharge of a firearm. Her approach is a bit aggressive.",negative
436,"Excellent Album

I have known Kenneth copland since 1973. He has always set very high standards for the recording & prpduction of all his albums. This album is no exception.",positive
673,"LOVED this video!

After I bought this DVD, I watched it about 8 times on my own and with my husband before our son was born. We both laughed at Sheri's mannerisms but really loved all we learned from her. We both felt more prepared, even though we weren't able to attend birthing classes.",positive
